quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
5,12/2009,03/2010,unweighted,25976.48419999999,27338.542699999976,0.05110585211203755,15-30
5,12/2009,03/2010,unweighted,17728.201000000015,19013.70070000004,0.07000316028303644,5-15
5,12/2009,03/2010,unweighted,3069.2069000000033,3544.8656999999994,0.14408108546062692,0-5
6,03/2010,06/2010,unweighted,133290.96693,129283.82501000003,-0.030524278566753438,100+
6,03/2010,06/2010,unweighted,14695.093000000003,12884.934399999998,-0.13145487563402014,60-100
6,03/2010,06/2010,unweighted,35829.587600000035,32169.84020000001,-0.10774464746502233,30-60
6,03/2010,06/2010,unweighted,27643.221699999955,24725.85399999999,-0.1115311345896366,15-30
6,03/2010,06/2010,unweighted,17646.12890000002,15750.50049999998,-0.11364429100033746,5-15
6,03/2010,06/2010,unweighted,2728.1883999999995,2472.826499999999,-0.09827597080523365,0-5
7,06/2010,09/2010,unweighted,127675.27001,132621.63498,0.03801013681690435,100+
7,06/2010,09/2010,unweighted,12165.179400000005,13410.681590000004,0.0974737996443249,60-100
7,06/2010,09/2010,unweighted,31204.369599999987,34265.49170000002,0.09358063856334908,30-60
7,06/2010,09/2010,unweighted,26428.993000000017,29158.648699999936,0.09828993794162777,15-30
7,06/2010,09/2010,unweighted,18658.83179999998,20021.028199999997,0.07046354225177787,5-15
7,06/2010,09/2010,unweighted,3010.7886999999982,3262.4209999999975,0.08026748678035922,0-5
8,09/2010,12/2010,unweighted,135117.55586999992,132017.44001000002,-0.023211148601021137,100+
8,09/2010,12/2010,unweighted,16036.890700000009,17621.718890000004,0.09424043208421828,60-100
8,09/2010,12/2010,unweighted,35994.07920000005,39517.288599999934,0.09338380396309276,30-60
8,09/2010,12/2010,unweighted,27316.888699999952,29840.207400000025,0.08835158109795138,15-30
8,09/2010,12/2010,unweighted,17040.42130000002,18498.469200000014,0.08209973744076215,5-15
8,09/2010,12/2010,unweighted,2835.085299999997,3310.4963000000002,0.15502609281569946,0-5
9,12/2010,03/2011,unweighted,134255.185,139652.07450999995,0.03941179272999307,100+
9,12/2010,03/2011,unweighted,21708.743899999994,22710.645400000005,0.04511865082578126,60-100
9,12/2010,03/2011,unweighted,40263.426699999975,42506.975099999996,0.05422465161719714,30-60
9,12/2010,03/2011,unweighted,27192.834500000008,28247.504299999964,0.038051609230913996,15-30
9,12/2010,03/2011,unweighted,16988.05079999999,17319.229999999985,0.01930724207852741,5-15
9,12/2010,03/2011,unweighted,2503.6751000000045,2704.3954500000027,0.07711870136642851,0-5
10,03/2011,06/2011,unweighted,141553.68451000002,131515.20999000012,-0.07355653070898605,100+
10,03/2011,06/2011,unweighted,25039.390400000008,24122.867100000018,-0.03728996793370065,60-100
10,03/2011,06/2011,unweighted,42984.87610000001,41910.17049999994,-0.025319805051243094,30-60
10,03/2011,06/2011,unweighted,25910.481299999992,24844.075100000045,-0.04202827268578169,15-30
10,03/2011,06/2011,unweighted,16671.5532,16046.138299999995,-0.038235649522880166,5-15
10,03/2011,06/2011,unweighted,2495.343350000002,2309.5790499999985,-0.07736105647516567,0-5
11,06/2011,09/2011,unweighted,132419.35999000008,119926.91996000001,-0.09909129937003591,100+
11,06/2011,09/2011,unweighted,23824.416100000013,18709.01839999999,-0.2417052663833772,60-100
11,06/2011,09/2011,unweighted,40821.90649999997,32869.627899999985,-0.21666979407845055,30-60
